chr	start	end	length	summit	tags	NAME	fold_enrichment	FDR%	chromosome	summit_center_pos	summit_centered_start	summit_centered_end
chr1	100273996	100274813	818	389	22	73.16	6.75	0.12	chr1	100274384	100274334	100274434
chr1	101449025	101449763	739	469	29	163.66	8.64	0.03	chr1	101449493	101449443	101449543
chr1	101460745	101461912	1168	684	41	198.34	7.14	0.02	chr1	101461428	101461378	101461478
chr1	102416241	102416824	584	179	16	95.84	7.43	0.06	chr1	102416419	102416369	102416469
chr1	104677708	104678419	712	378	16	65.08	7.22	0.18	chr1	104678085	104678035	104678135
chr1	105137441	105138178	738	429	20	113.1	8.97	0.04	chr1	105137869	105137819	105137919
chr1	107150025	107151189	1165	609	101	431.66	10.83	0.02	chr1	107150633	107150583	107150683
chr1	107823094	107823849	756	480	28	105.13	5.33	0.05	chr1	107823573	107823523	107823623
chr1	108383007	108383994	988	487	29	74.64	6.56	0.12	chr1	108383493	108383443	108383543
chr1	110042130	110043050	921	486	29	90.87	6	0.07	chr1	110042615	110042565	110042665
chr1	110175217	110175619	403	206	24	152.11	7.67	0.03	chr1	110175422	110175372	110175472
chr1	114636270	114637208	939	385	57	175.06	4.64	0.03	chr1	114636654	114636604	114636704
chr1	114999643	115000746	1104	564	92	812.05	23.55	0	chr1	115000206	115000156	115000256
chr1	118863880	118864904	1025	473	30	100.53	5.77	0.05	chr1	118864352	118864302	118864402
chr1	119921756	119922484	729	202	25	103.99	6.15	0.04	chr1	119921957	119921907	119922007
chr1	144044252	144045271	1020	484	33	133.14	6.35	0.04	chr1	144044735	144044685	144044785
chr1	148772903	148773673	771	426	21	100.89	6.67	0.05	chr1	148773328	148773278	148773378
chr1	150206036	150206930	895	336	33	107.93	6.18	0.04	chr1	150206371	150206321	150206421
chr1	154579291	154581829	2539	2060	106	108.43	2.58	0.04	chr1	154581350	154581300	154581400
chr1	156195049	156195904	856	352	29	119.02	7.69	0.04	chr1	156195400	156195350	156195450
chr1	161734717	161735464	748	497	21	94.36	5.05	0.06	chr1	161735213	161735163	161735263
chr1	162163475	162164447	973	505	30	141.22	7.35	0.04	chr1	162163979	162163929	162164029
chr1	163305775	163306400	626	332	22	114.95	7.73	0.04	chr1	163306106	163306056	163306156
chr1	164570917	164571970	1054	491	32	63.28	5.26	0.2	chr1	164571407	164571357	164571457
chr1	174722085	174722791	707	344	21	100.02	6.57	0.05	chr1	174722428	174722378	174722478
chr1	177569622	177570744	1123	683	78	495.2	12.5	0.01	chr1	177570304	177570254	177570354
chr1	177866878	177867986	1109	566	93	500.73	13.48	0.01	chr1	177867443	177867393	177867493
chr1	177928635	177929277	643	407	18	67.41	4.58	0.17	chr1	177929041	177928991	177929091
chr1	179164653	179165337	685	326	16	56.76	5.71	0.3	chr1	179164978	179164928	179165028
chr1	180529384	180530369	986	481	37	139.08	7.67	0.04	chr1	180529864	180529814	180529914
chr1	182570033	182570892	860	395	38	217.45	8.33	0.02	chr1	182570427	182570377	182570477
chr1	183044699	183045772	1074	558	37	162.71	7.92	0.03	chr1	183045256	183045206	183045306
chr1	184630857	184631855	999	503	45	259.17	8.33	0.02	chr1	184631359	184631309	184631409
chr1	185524495	185525584	1090	610	64	403.33	16.71	0.02	chr1	185525104	185525054	185525154
chr1	186978298	186979142	845	343	31	164.46	9.09	0.03	chr1	186978640	186978590	186978690
